date,deduc_type_rel_gross_43
2015Q3,0.333401111
2015Q4,0.490393698
2016Q1,0.24977117
2016Q2,0.10322174
2016Q3,0.315315489
2016Q4,0.477647622
2017Q1,0.327988651
2017Q2,0.318820944
2017Q3,0.268866959
2017Q4,0.155422688
2018Q1,0.18068125
2018Q2,0.205421097
2018Q3,0.22779554
2018Q4,0.23062741
2019Q1,0.342769506
2019Q2,0.198271233
2019Q3,0.272670439
2019Q4,0.206292183
2020Q1,0.17257581
2020Q2,0.201553394
2020Q3,0.37085036
2020Q4,0.2825701
2021Q1,0.422068793
2021Q2,0.493723386
2021Q3,0.255726298
2022Q3,0.279389205
2022Q1,0.703330152
2022Q3,0.58714259
2008Q1,0.085597483
2008Q3,0.219838388
2008Q4,0.055696436
2009Q1,0.016106078
2009Q2,0.026252887
2009Q3,0.019790761
2009Q4,0.101213053
2010Q1,0.003907624
2010Q2,0.013538185
2019Q2,0.00484731
2011Q4,0.174176779
2012Q1,0.259237429
2012Q2,0.104680376
2012Q3,0.147445992
2012Q4,0.123979633
2013Q1,0.164398237
2013Q2,0.109563258
2013Q3,0.112791187
2013Q4,0.134906927
2014Q1,0.068990759
2014Q2,0.166330169
2014Q3,0.168064452
2015Q3,0.004226838
2017Q3,0.171920907
2018Q2,0.270610535
2009Q2,0.007160205
2012Q4,0.002847913
2013Q3,0.006232384
2009Q1,0.002173551
2008Q1,0.019456152
2008Q2,0.007314659
2008Q3,0.042928268
2008Q4,0.003675202
2009Q1,0.044619838
2009Q2,0.035391327
2009Q4,0.024586087
2010Q1,0.023781936
2010Q2,0.005728029
2010Q4,0.188853923
2011Q1,0.172412476
2011Q2,0.010852507
2011Q3,0.137029858
2011Q4,0.051921725
2012Q1,0.070108506
2012Q2,0.059415595
2012Q3,0.154729782
2012Q4,0.234236028
2013Q1,0.647380898
2013Q2,0.218466168
2013Q3,0.141968421
2013Q4,0.069434998
2014Q1,0.15914858
2014Q2,0.386311117
2014Q3,0.04598984
2014Q4,0.310053608
2015Q1,0.310514996
2015Q2,0.310024621
2015Q3,0.10524052
2015Q4,0.038752366
2016Q1,0.048743393
2016Q2,0.408976527
2016Q3,0.874388161
2016Q4,0.559098819
2017Q1,0.027115693
2017Q2,0.036398348
2017Q3,0.050993413
2017Q4,0.063279866
2018Q1,0.124421455
2018Q2,0.030708613
2018Q3,0.406963699
2018Q4,0.129379806
2019Q1,0.126200206
2019Q2,0.073530315
2019Q3,0.093552102
2019Q4,0.115053524
2020Q1,0.024236469
2020Q2,0.441615541
2020Q3,0.101494532
2020Q4,0.065847616
2021Q1,0.024715037
2021Q2,0.051736443
2021Q3,0.081918228
2021Q4,0.339222127
2022Q1,0.106659306
2022Q2,0.20495614
2022Q3,0.325399042
2012Q4,0.039682421
2013Q3,0.21345487
2013Q4,0.254538321
2014Q1,0.27124258
2014Q3,0.212144596
2015Q3,0.223653986
2011Q1,0.100915567
2011Q2,0.039499258
2011Q3,0.161774489
2011Q4,0.135473491
2017Q4,0.000991245
2018Q4,0.009052211
2019Q2,0.04656032
2019Q3,0.056167469
2019Q4,0.033399633
2020Q1,0.010417221
2020Q2,0.106797114
2020Q3,0.054027544
2021Q1,0.072219236
2021Q2,0.061132694
2021Q3,0.112310811
2021Q4,0.07769694
2022Q1,0.026804669
2022Q2,0.067247521
2022Q3,0.106957179
2011Q2,0.173492462
2011Q3,0.024256862
2011Q4,0.006070934
2019Q4,0.818216636
2020Q1,0.734415633
2020Q2,0.756738071
2020Q3,0.757940302
2020Q4,0.773115835
2021Q1,0.772933568
2021Q2,0.787228643
2021Q3,0.85511614
2021Q4,0.59438846
2022Q1,0.73588935
2022Q2,0.667127959
2022Q3,0.727569403
2019Q3,0.095279776
2019Q4,0.078268228
2020Q4,0.059382274
2021Q2,0.072690764
2021Q3,0.040911689
2021Q4,0.051477728
2022Q1,0.05674475
2022Q2,0.071883301
2022Q3,0.018601076
2011Q4,0.17835245
2012Q1,0.206082006
2017Q4,0.004365426
2011Q2,0.475182519
2011Q3,0.358496277
2011Q4,0.742196775
2012Q1,0.669608874
2012Q2,0.684057299
2012Q3,0.651143377
2012Q4,0.85993703
2013Q1,0.258647117
2013Q2,0.56052507
2013Q3,0.652095139
2013Q4,0.691571635
2014Q1,0.687638175
2014Q2,0.795521312
2014Q3,0.356706328
2014Q4,0.377119986
2015Q1,0.338295896
2015Q2,0.670068864
2015Q3,0.153151948
2015Q4,0.642156788
2016Q1,0.409690093
2016Q2,0.59744649
2016Q3,0.606183046
2016Q4,0.371144761
2017Q1,0.710874709
2017Q2,0.50624509
2017Q3,0.564458381
2017Q4,0.539217714
2013Q2,0.328054087
2021Q4,0.042104752
2022Q1,0.019138412
2022Q2,0.115112506
2022Q3,0.210671265
2017Q2,0.215807371
2021Q3,0.956295948
2021Q1,0.000996195
2021Q2,0.00080117
2021Q4,0.082679192
2019Q1,0.073753805
2019Q2,0.089805743
2019Q3,0.092157742
2019Q4,0.096876266
2020Q1,0.034029415
2015Q2,0.006244365
2021Q4,0.1982644
2019Q2,0.000603456
2019Q3,0.00129412
2019Q4,0.003227013
2020Q3,0.083155763
2020Q4,0.050217092
2019Q4,0.038251394
2015Q3,0.041105699
2015Q4,0.033232527
2016Q1,0.031562412
2016Q3,0.02737171
2019Q1,0.537857368
2019Q2,0.387331542
2019Q3,0.350708255
2022Q3,0.190378485
2009Q2,0.001936763
2009Q3,0.000837766
2010Q1,0.001046316
2010Q2,0.001164618
2010Q3,0.001707366
2010Q4,0.000583086
2011Q1,0.001119608
2011Q2,0.003296294
2012Q2,0.001094879
2012Q3,0.003157601
2013Q1,0.001702251
2013Q4,0.003427539
2014Q1,0.002430937
2014Q3,0.001027908
2014Q4,0.001152378
2015Q1,0.001352091
2015Q2,0.000967724
2015Q3,0.001955885
2015Q4,0.001466254
2016Q3,0.000990389
2017Q1,0.000278312
2017Q3,0.001046751
2019Q1,0.100720878
2019Q2,0.049454753
2019Q3,0.081868385
2022Q1,0.063571174
2014Q2,0.008269786
2014Q4,0.010181668
2016Q1,0.07468173
2015Q2,0.030039713
2016Q1,0.028829048
2016Q2,0.041938928
2016Q3,0.045053922
2016Q4,0.006669316
2017Q1,0.0004853
2017Q2,0.001071034
2017Q3,0.000830906
2017Q4,0.000906221
2018Q1,0.000747748
2018Q2,0.001117471
2018Q3,0.001094337
2018Q4,0.000686869
2019Q1,0.00060059
2019Q2,0.00142089
2019Q3,0.001238353
2019Q4,0.00111564
2020Q1,0.001298205
2019Q2,0.224097324
2019Q3,0.809994754
2018Q1,0.180718845
2018Q4,0.186486337
2019Q2,0.167390782
2020Q2,0.519061762
2020Q3,0.481174395
2020Q4,0.478772514
2021Q1,0.312521866
2018Q3,0.010507444
2017Q3,0.82905096
2017Q4,0.839705915
2018Q1,0.834378175
2022Q1,0.819936405
2019Q1,0.380317019
2019Q2,0.599060984
2016Q2,0.013770898
2016Q3,0.019530104
2016Q4,0.012760107
2017Q1,0.015836153
2017Q2,0.015077277
2017Q3,0.014862814
2017Q4,0.017196664
2018Q1,0.009173965
2018Q2,0.014416126
2018Q3,0.011334727
2018Q4,0.013856096
2019Q1,0.016206339
2019Q2,0.012312518
2019Q3,0.010307081
2019Q4,0.017762101
2020Q1,0.010331006
2020Q2,0.019689003
2020Q3,0.013981035
2021Q1,0.011631752
2022Q1,0.010833561
2011Q2,0.055678072
2011Q3,0.064396466
2012Q1,0.021204545
2012Q2,0.027625264
2012Q3,0.034011072
2012Q4,0.027301853
2013Q2,0.014014792
2013Q3,0.01835945
2014Q2,0.028957062
2014Q3,0.034257562
2014Q4,0.035030632
2015Q1,0.027989594
2015Q3,0.031293468
2015Q4,0.029522326
2016Q1,0.028639874
2016Q2,0.030433302
2016Q3,0.035309302
2016Q4,0.025598193
2017Q1,0.036028802
2017Q2,0.036789231
2017Q3,0.038204889
2018Q1,0.033485324
2018Q3,0.04127041
2018Q4,0.042523922
2019Q1,0.04138685
2019Q2,0.043829254
2019Q3,0.048592286
2019Q4,0.048170054
2020Q1,0.04840212
2020Q3,0.051014862
2020Q4,0.04252764
2021Q3,0.049946541
2019Q3,0.043114011
2019Q3,0.043114011
2019Q3,0.043114011
2019Q3,0.043114011
2019Q3,0.018787007
2019Q3,0.018787007
2019Q3,0.018787007
2019Q3,0.018787007
2021Q3,0.022891312
2021Q3,0.022891312
2021Q3,0.022891312
2021Q3,0.022891312
2021Q3,0.045627974
2021Q3,0.045627974
2021Q3,0.045627974
2021Q3,0.045627974
2016Q2,0.001688151
2016Q3,0.028619501
2017Q1,0.054489851
2017Q4,0.003355625
2018Q3,0.00784174
2019Q1,0.002790431
2019Q2,0.000387538
2021Q4,0.926542745
2020Q3,0.022505724
2021Q1,0.030243483
2021Q4,0.015015101
2017Q1,0.510320691
2017Q2,0.317326567
2017Q3,0.440051844
2017Q4,0.332857529
2018Q1,0.655529288
2018Q2,0.518219157
2018Q3,0.325603596
2018Q4,0.345200862
2019Q1,0.707610851
2019Q2,0.619421581
2019Q3,0.342130098
2019Q4,0.720720826
2020Q2,0.067958646
2020Q4,0.507781263
2008Q1,0.126125468
2008Q2,0.039394448
2008Q3,0.023991741
2009Q1,0.001026027
2013Q1,0.004714009
2013Q2,0.014215654
2013Q3,0.147173277
2013Q4,0.722631412
2014Q1,0.349938204
2014Q2,0.383179726
2014Q3,0.036103508
2014Q4,0.539117954
2015Q2,0.135278149
2015Q3,0.140356804
2015Q4,0.348189665
2016Q1,0.331442734
2016Q2,0.10751347
2016Q3,0.01502362
2016Q4,0.144242936
2017Q1,0.211481975
2017Q2,0.257299164
2017Q3,0.518810029
2017Q4,0.673165133
2018Q1,0.556761796
2018Q2,0.28325006
2018Q3,0.192644656
2018Q4,0.062341837
2019Q2,0.030216299
2019Q3,0.523390393
2019Q4,0.348305973
2020Q1,0.112200577
2020Q3,0.012038334
2020Q4,0.01818797
2021Q1,0.023585075
2021Q2,0.408984839
2021Q3,0.46053164
2021Q4,0.435462038
2022Q1,0.367544056
2022Q2,0.582282991
2022Q3,0.675252741
2010Q2,0.102136316
2010Q3,0.143859568
2010Q4,0.121602055
2011Q1,0.081868013
2011Q2,0.119200878
2011Q3,0.204187982
2011Q4,0.19103807
2012Q1,0.22468147
2012Q2,0.206855245
2012Q3,0.272186776
2012Q4,0.180870447
2013Q1,0.252052759
2013Q3,0.343784742
2013Q4,0.215106434
2014Q1,0.243900072
2014Q4,0.328493961
2015Q1,0.275681414
2015Q2,0.36339283
2015Q3,0.462003105
2016Q1,0.189292849
2016Q2,0.159852951
2016Q4,0.268037913
2017Q2,0.082844071
2017Q3,0.227181501
2017Q4,0.186507603
2018Q1,0.194888369
2018Q2,0.268544671
2018Q3,0.172863701
2018Q4,0.26816366
2019Q1,0.274887537
2019Q2,0.197438596
2019Q3,0.282669815
2019Q4,0.148041809
2020Q1,0.231279057
2020Q2,0.15984464
2020Q3,0.201040716
2021Q1,0.098052799
2021Q2,0.1476411
2021Q3,0.085414857
2021Q4,0.376343415
2022Q1,0.154525263
2022Q2,0.226996206
2022Q3,0.255116193
2008Q3,0.235968201
2008Q4,0.230474227
2009Q1,0.186596538
2009Q2,0.220094952
2009Q3,0.168486738
2009Q4,0.181764931
2010Q1,0.18747658
2010Q2,0.102539043
2010Q3,0.101882857
2010Q4,0.127591422
2011Q1,0.201581269
2011Q2,0.148069872
2011Q3,0.075633112
2011Q4,0.218120759
2012Q1,0.169555328
2012Q2,0.308039439
2012Q3,0.310278429
2012Q4,0.250008681
2013Q1,0.169277403
2013Q2,0.151654668
2013Q3,0.297208286
2013Q4,0.225518564
2014Q1,0.209619653
2014Q2,0.221070863
2014Q3,0.221455072
2014Q4,0.060893239
2015Q1,0.20508602
2015Q2,0.212227251
2015Q3,0.280341173
2015Q4,0.166284144
2016Q1,0.236621418
2016Q2,0.159321092
2016Q3,0.190810362
2016Q4,0.323176986
2017Q2,0.315551561
2017Q3,0.327206229
2017Q4,0.31982076
2018Q1,0.25798758
2018Q2,0.288186417
2018Q3,0.317736209
2018Q4,0.26787796
2019Q1,0.195393108
2019Q2,0.334243168
2019Q3,0.196119583
2019Q4,0.239278039
2020Q1,0.089330006
2020Q2,0.004326615
2021Q1,0.016195264
2021Q2,0.607868662
2021Q3,0.007714123
2021Q4,0.369710091
2022Q1,0.080593722
2022Q2,0.032802702
2021Q1,0.879501366
2021Q3,0.84108058
2022Q3,0.922395236
2012Q3,0.070588235
2012Q4,0.101925867
2013Q1,0.021946841
2013Q2,0.052935193
2013Q3,0.069694785
2013Q4,0.11748913
2014Q1,0.024748937
2014Q2,0.046157362
2014Q4,0.121518238
2015Q1,0.021858373
2015Q2,0.043572985
2015Q3,0.021558157
2015Q4,0.104815875
2016Q1,0.019317954
2016Q2,0.405759162
2016Q3,0.053569112
2016Q4,0.064467882
2017Q1,0.020680246
2017Q2,0.066083576
2017Q3,0.070222549
2017Q4,0.048460492
2018Q1,0.015204012
2018Q2,0.052735662
